channelId,channelName,type,uploads,views,likes,comments,avg_views,er,shorts_ratio,median_views,p90_views,avg_subscribers
UCVQvdzrmbTo2QTJalhw4coQ,UCVQvdzrmbTo2QTJalhw4coQ,creator,2,578754,197,52,289377.00,0.000430,0.0000,289377,519723.4,0.00
UCEqHeuUGkG-q59KDjsZYCrA,UCEqHeuUGkG-q59KDjsZYCrA,creator,2,294695,5000,366,147347.50,0.018209,0.0000,147347.5,147353.5,0.00
UCP_RJGEgyQZGY4AN5KNOE6Q,UCP_RJGEgyQZGY4AN5KNOE6Q,creator,5,118819,2477,48,23763.80,0.021251,0.6000,3401,55402,0.00
UCYjkiHwK6yj1VgMfqNZvHEA,UCYjkiHwK6yj1VgMfqNZvHEA,creator,1,102292,1900,174,102292.00,0.020275,0.0000,102292,102292,0.00
UCHW2G3zJhjLq03lSFizztVw,UCHW2G3zJhjLq03lSFizztVw,creator,2,72354,2200,220,36177.00,0.033447,0.0000,36177,36177,0.00
UCyRNxbCK8vdq-F-sBEL-hyg,UCyRNxbCK8vdq-F-sBEL-hyg,creator,2,66920,3200,50,33460.00,0.048565,0.0000,33460,33460,0.00
UCzq0gcTNds2lxhNB2ow2SwA,UCzq0gcTNds2lxhNB2ow2SwA,creator,2,36668,46,38,18334.00,0.002291,0.0000,18334,18334,0.00
UC7iOrRrC7aDgrEh2Z6fOrdg,UC7iOrRrC7aDgrEh2Z6fOrdg,creator,2,28636,44,7,14318.00,0.001781,0.5000,14318,25041.2,0.00
UCV-gZBbztDWwsIhSkxGQS3A,UCV-gZBbztDWwsIhSkxGQS3A,hospital_clinic,41,27561,190,28,672.22,0.007910,1.0000,591,1129,0.00
UC71fEEzS9yMYQvT1iz5-zxQ,UC71fEEzS9yMYQvT1iz5-zxQ,creator,2,25924,24,24,12962.00,0.001852,0.0000,12962,12962,0.00
UC_GYujwCCQPWTCZTyo9laQg,UC_GYujwCCQPWTCZTyo9laQg,creator,4,23336,38,0,5834.00,0.001628,0.5000,5833.5,6906.4,0.00
UCcGWlmPnmNyAGggXYEBkddg,UCcGWlmPnmNyAGggXYEBkddg,creator,4,23005,156,0,5751.25,0.006781,1.0000,1920,13243.500000000002,0.00
UCHsqTxhyOaumSAlfa7odQAg,UCHsqTxhyOaumSAlfa7odQAg,creator,19,22852,0,5,1202.74,0.000219,0.8421,1274,2116.6,0.00
UCRhACfjsdpVQZCn89Ya5MsQ,UCRhACfjsdpVQZCn89Ya5MsQ,creator,15,22594,111,2,1506.27,0.005001,1.0000,1409,2337.4,0.00
UCsyUwQomcJh6wtru7ouKB7w,UCsyUwQomcJh6wtru7ouKB7w,creator,4,22143,154,2,5535.75,0.007045,0.2500,5689.5,8180,0.00
UCxA9k7UJz50ZJPa5aUGf7fw,UCxA9k7UJz50ZJPa5aUGf7fw,creator,3,20681,541,135,6893.67,0.032687,0.0000,5828,8385.6,0.00
UCYhspWwPV3s9HQmtZPMA54g,UCYhspWwPV3s9HQmtZPMA54g,creator,1,19972,547,24,19972.00,0.028590,1.0000,19972,19972,0.00
UCr_QBNzvSm_a7mreIpTregw,UCr_QBNzvSm_a7mreIpTregw,creator,1,19183,0,102,19183.00,0.005317,0.0000,19183,19183,0.00
UCqbBOaMYlOLzz25lrcM_vtQ,UCqbBOaMYlOLzz25lrcM_vtQ,creator,2,19158,126,12,9579.00,0.007203,1.0000,9579,9579,0.00
UCdbKrdgAJ4Y7SkqumX2sHZA,UCdbKrdgAJ4Y7SkqumX2sHZA,creator,3,17920,38,2,5973.33,0.002232,1.0000,8066,8066,0.00
UCh4hYDI8vMBdV4f913wucvQ,UCh4hYDI8vMBdV4f913wucvQ,creator,7,15043,91,1,2149.00,0.006116,1.0000,2136,2542.8,0.00
UC3qh3KVgHf44TkX-Cj_TNSg,UC3qh3KVgHf44TkX-Cj_TNSg,creator,3,14905,57,23,4968.33,0.005367,0.3333,5641,5698.6,0.00
UCEtIqGXXRrKf33n7q3PTB4Q,UCEtIqGXXRrKf33n7q3PTB4Q,creator,7,14722,234,32,2103.14,0.018068,0.4286,2549,3319.4,0.00
UC-1gZumllevdRN5MR3TfVAQ,UC-1gZumllevdRN5MR3TfVAQ,creator,10,13206,22,4,1320.60,0.001969,1.0000,1504,1871,0.00
UCevBKgl8-nLrSfW59s92xcQ,UCevBKgl8-nLrSfW59s92xcQ,creator,2,12958,40,4,6479.00,0.003396,0.0000,6479,6479,0.00
UCOEj_y4wNnNyNI1cDeH0dFQ,UCOEj_y4wNnNyNI1cDeH0dFQ,creator,3,11419,51,2,3806.33,0.004641,1.0000,4657,5645.8,0.00
UCxIBvq8U4tX6-1GkagB-wig,UCxIBvq8U4tX6-1GkagB-wig,hospital_clinic,10,9809,54,8,980.90,0.006321,0.7000,802.5,2442,0.00
UCB_JO_hoF6T9ns6ea9wwtaA,UCB_JO_hoF6T9ns6ea9wwtaA,creator,6,9225,59,2,1537.50,0.006612,0.6667,1355.5,2633,0.00
UCC3-dvpLWJLY-5zTi1ebVnQ,UCC3-dvpLWJLY-5zTi1ebVnQ,creator,3,8782,15,0,2927.33,0.001708,1.0000,2191,3958.2,0.00
UCuQe2i7pxPequLYKXBrPlMA,UCuQe2i7pxPequLYKXBrPlMA,creator,2,7668,248,8,3834.00,0.033385,0.0000,3834,3834,0.00
UCYPXJe9zCI4jUmgZ0QHH9rw,UCYPXJe9zCI4jUmgZ0QHH9rw,creator,2,7567,10,11,3783.50,0.002775,1.0000,3783.5,3904.7,0.00
UCX4tOW_SyZ2DPGVcZ3jmEBw,UCX4tOW_SyZ2DPGVcZ3jmEBw,creator,1,7556,277,28,7556.00,0.040365,0.0000,7556,7556,0.00
UCS2DUWxjya4Wa8xu6uB9D4w,UCS2DUWxjya4Wa8xu6uB9D4w,creator,8,7514,54,3,939.25,0.007586,0.5000,338,2237.9,0.00
UC2U_kiESFXbXSVFNGYSGCOg,UC2U_kiESFXbXSVFNGYSGCOg,creator,5,7498,80,27,1499.60,0.014270,0.6000,1842,1947,0.00
UCORFlmFw9NjuhwCEz9epUFA,UCORFlmFw9NjuhwCEz9epUFA,creator,6,7320,42,4,1220.00,0.006284,1.0000,1546,1833,0.00
UCWPBP2sSbAdMxuTliPcANug,UCWPBP2sSbAdMxuTliPcANug,hospital_clinic,2,7105,17,0,3552.50,0.002393,1.0000,3552.5,4162.5,0.00
UCab55Vw2PG6wDxvRquPAkKg,UCab55Vw2PG6wDxvRquPAkKg,creator,2,6447,33,3,3223.50,0.005584,1.0000,3223.5,4791.1,0.00
UCvlVPiO17tbzdqHKeh_wJEQ,UCvlVPiO17tbzdqHKeh_wJEQ,creator,4,6131,53,4,1532.75,0.009297,0.7500,1616,2771,0.00
UCOYnlDs4nyLZFOt1Pfwnvlg,UCOYnlDs4nyLZFOt1Pfwnvlg,hospital_clinic,5,5784,22,0,1156.80,0.003804,0.8000,937,2282.2,0.00
UCFiY5DbV-2U7p3Ls8O2jWIA,UCFiY5DbV-2U7p3Ls8O2jWIA,creator,3,5780,45,2,1926.67,0.008131,1.0000,1178,2974.8,0.00
UCY1dTbwvOX0hx2JG-3gHWvA,UCY1dTbwvOX0hx2JG-3gHWvA,creator,3,5777,25,2,1925.67,0.004674,1.0000,1998,1998,0.00
UC9NS3zb3HGvKDrG3mZl3AVA,UC9NS3zb3HGvKDrG3mZl3AVA,creator,6,5730,180,76,955.00,0.044677,0.6667,841,1760,0.00
UC5o9Z5lgw4kk4fjDhweZxKg,UC5o9Z5lgw4kk4fjDhweZxKg,creator,2,5647,208,8,2823.50,0.038250,0.0000,2823.5,2827.1,0.00
UCbgg4A16nah5INcev92soQA,UCbgg4A16nah5INcev92soQA,creator,2,5617,12,6,2808.50,0.003205,1.0000,2808.5,2808.9,0.00
UC9Whg20W47LSvdMasJsl7vg,UC9Whg20W47LSvdMasJsl7vg,hospital_clinic,4,5436,16,0,1359.00,0.002943,1.0000,1359,2122,0.00
UCb3AiQTIqoWcDJK0oc3y5qQ,UCb3AiQTIqoWcDJK0oc3y5qQ,creator,5,5398,32,5,1079.60,0.006854,0.8000,787,1880,0.00
UCJN7MRC9_QB1YlOnTT3ybDw,UCJN7MRC9_QB1YlOnTT3ybDw,hospital_clinic,4,5098,33,0,1274.50,0.006473,1.0000,1284.5,2249,0.00
UCTNW4Vg94coS11lXM22iUYQ,UCTNW4Vg94coS11lXM22iUYQ,creator,4,5081,14,0,1270.25,0.002755,1.0000,1295,1673.7,0.00
UC8deOilBhofSIuPdhiemqYA,UC8deOilBhofSIuPdhiemqYA,hospital_clinic,1,4871,17,0,4871.00,0.003490,1.0000,4871,4871,0.00
UCjGbKHy3KldtwZ8Q99DUQxQ,UCjGbKHy3KldtwZ8Q99DUQxQ,creator,2,4782,24,0,2391.00,0.005019,1.0000,2391,2391,0.00
UCa7Wueeo4XGSC6gIWxOum-g,UCa7Wueeo4XGSC6gIWxOum-g,creator,4,4659,14,0,1164.75,0.003005,0.5000,1165.5,2276,0.00
UCwhNIwa46fjHD3yporGw5wg,UCwhNIwa46fjHD3yporGw5wg,creator,3,4500,9,9,1500.00,0.004000,0.6667,2208,2208,0.00
UCMtzqmpH04tM390evp1gb9A,UCMtzqmpH04tM390evp1gb9A,creator,6,4471,7,3,745.17,0.002237,0.5000,262.5,1920,0.00
UCvo682HYUMOn9p73pCoAxqA,UCvo682HYUMOn9p73pCoAxqA,hospital_clinic,5,4288,7,0,857.60,0.001632,1.0000,651,1380.6000000000001,0.00
UCFpFZkm7mclD-z_-j7FTUag,UCFpFZkm7mclD-z_-j7FTUag,brand,4,4050,27,20,1012.50,0.011605,0.5000,862.5,2053.8,0.00
UCr70a9wkbZP0yXoLo4nl3kQ,UCr70a9wkbZP0yXoLo4nl3kQ,creator,1,3995,13,2,3995.00,0.003755,1.0000,3995,3995,0.00
UC-hKW-JPW-8NJJeMp-2QHOw,UC-hKW-JPW-8NJJeMp-2QHOw,hospital_clinic,4,3990,31,4,997.50,0.008772,1.0000,999.5,1324,0.00
UCexruemU8Eugs_B90rosung,UCexruemU8Eugs_B90rosung,creator,1,3905,3,2,3905.00,0.001280,1.0000,3905,3905,0.00
UCyf0zlKH3V9lkL73hDBnanQ,UCyf0zlKH3V9lkL73hDBnanQ,creator,2,3869,16,0,1934.50,0.004135,1.0000,1934.5,2006.1,0.00
UCi_OZ9t3PYIsCTE3bsAWHjA,UCi_OZ9t3PYIsCTE3bsAWHjA,creator,2,3831,20,22,1915.50,0.010963,1.0000,1915.5,2125.5,0.00
UCe-DjfQ5QCTKD9-C3CPj5sA,UCe-DjfQ5QCTKD9-C3CPj5sA,creator,6,3743,45,2,623.83,0.012557,0.5000,246,1523.5,0.00
UCRYXMMSdMYhURh_Dr6Vz18w,UCRYXMMSdMYhURh_Dr6Vz18w,creator,1,3668,3,1,3668.00,0.001091,1.0000,3668,3668,0.00
UCYyugmkrslcPePrShZBv6RA,UCYyugmkrslcPePrShZBv6RA,creator,8,3593,13,3,449.13,0.004453,0.7500,258,896.0999999999998,0.00
UCS9IQ9c5ZDXZ1JIEiEOmofA,UCS9IQ9c5ZDXZ1JIEiEOmofA,creator,3,3529,2,0,1176.33,0.000567,0.6667,312,2412,0.00
UCWv1kKbYn5no7yMZYrEOZmg,UCWv1kKbYn5no7yMZYrEOZmg,hospital_clinic,2,3423,21,0,1711.50,0.006135,1.0000,1711.5,1711.9,0.00
UCurS7wbx6lHMQ21sIHEgp9w,UCurS7wbx6lHMQ21sIHEgp9w,creator,4,3384,2,0,846.00,0.000591,0.5000,846,1364,0.00
UCah0nP6Q8Ah2BbisIKQfVjw,UCah0nP6Q8Ah2BbisIKQfVjw,creator,2,3323,9,3,1661.50,0.003611,1.0000,1661.5,2045.1,0.00
UCm7lUwAwhDwpxY4bO6Q7nfQ,UCm7lUwAwhDwpxY4bO6Q7nfQ,creator,2,3308,13,0,1654.00,0.003930,1.0000,1654,1662.8,0.00
UCM9mkFmUff9cKRZrcaaIImA,UCM9mkFmUff9cKRZrcaaIImA,creator,5,3301,13,0,660.20,0.003938,1.0000,365,1362,0.00
UC6gfc_zYHBawIQFNtkaiKNg,UC6gfc_zYHBawIQFNtkaiKNg,creator,1,3230,18,22,3230.00,0.012384,0.0000,3230,3230,0.00
UCY_wbu305pixkOO7Pc6XEBA,UCY_wbu305pixkOO7Pc6XEBA,creator,4,3184,0,1,796.00,0.000314,1.0000,345.5,1628.8000000000004,0.00
UCaWh7Np3MQ6fcvPMKMCHQAw,UCaWh7Np3MQ6fcvPMKMCHQAw,creator,2,3144,31,6,1572.00,0.011768,0.5000,1572,2353.6000000000004,0.00
UCZV2kbLIPRA-PNZetzKWiPQ,UCZV2kbLIPRA-PNZetzKWiPQ,creator,2,3082,20,17,1541.00,0.012005,0.5000,1541,2218.6000000000004,0.00
UCOPntYxYqbubPxGwy_DYFrQ,UCOPntYxYqbubPxGwy_DYFrQ,creator,1,3068,12,1,3068.00,0.004237,1.0000,3068,3068,0.00
UCId6QkbbViCmvZCwmh_R14A,UCId6QkbbViCmvZCwmh_R14A,creator,2,3009,16,12,1504.50,0.009305,0.5000,1504.5,1506.5,0.00
UCoB7l2qq9JP_HtuWjYKn2lw,UCoB7l2qq9JP_HtuWjYKn2lw,creator,5,2994,16,2,598.80,0.006012,0.6000,390,1324.4,0.00
UCmlZPuP4mDK5sO7TNHUFRAw,UCmlZPuP4mDK5sO7TNHUFRAw,creator,3,2983,805,0,994.33,0.269863,0.6667,365,1949.8000000000002,0.00
UCttIonEZSUVAKyoUbCdfLBg,UCttIonEZSUVAKyoUbCdfLBg,creator,2,2968,19,0,1484.00,0.006402,1.0000,1484,1522.4,0.00
