weekday,hour,uploads,views
0,0,2,719
0,2,1,3
0,5,1,273
0,10,7,4579
0,11,8,9767
0,12,3,2772
0,13,1,512
0,14,2,2389
0,15,2,5146
0,16,7,5437
0,18,9,6173
0,19,1,516
0,20,3,3901
0,21,1,1357
0,22,5,7480
0,23,1,35
1,1,1,2212
1,4,1,30
1,6,1,318
1,9,4,2692
1,10,2,5261
1,11,5,979
1,12,8,8949
1,13,2,2482
1,14,6,11691
1,15,7,5838
1,16,7,7049
1,17,12,28340
1,18,14,33739
1,19,12,302655
1,20,14,39996
1,21,6,4819
1,22,1,454
2,1,1,0
2,2,1,2
2,5,1,0
2,6,1,0
2,7,1,295
2,9,2,1391
2,10,3,2549
2,11,11,10476
2,12,2,1403
2,13,2,611
2,14,3,4652
2,15,4,1779
2,16,7,5361
2,17,13,31498
2,18,33,41388
2,19,6,7794
2,20,4,1028
2,21,2,841
2,22,6,74324
2,23,3,3160
3,0,2,2952
3,6,1,0
3,8,1,2388
3,9,6,3880
3,10,8,6244
3,11,7,7153
3,12,7,2933
3,13,5,7867
3,15,10,5003
3,16,10,5268
3,17,21,51340
3,18,15,18578
3,19,12,122102
3,20,5,4940
3,21,1,56
4,0,1,526
4,7,1,1508
4,8,1,166
4,9,2,906
4,10,6,4484
4,11,8,2814
4,12,4,390
4,13,1,520
4,14,3,5408
4,15,7,8110
4,16,10,11375
4,17,14,42366
4,18,26,48165
4,19,13,19702
4,20,9,5472
4,21,1,1
4,23,3,1681
5,0,2,967
5,8,1,577310
5,9,3,2068
5,10,1,1770
5,11,8,9268
5,12,10,13195
5,13,6,2982
5,14,9,10466
5,15,8,20724
5,16,7,8404
5,17,33,111026
5,18,19,51867
5,19,9,6786
5,20,6,5006
5,21,3,987
5,22,1,235
5,23,1,2329
6,0,3,1054
6,4,2,4
6,8,1,2411
6,9,2,25924
6,10,6,106340
6,11,5,3875
6,12,2,2858
6,13,8,7913
6,14,11,7252
6,16,1,349
6,17,5,3239
6,18,8,2332
6,19,1,673
6,20,1,344
6,21,2,142
6,22,1,465
6,23,3,7212
