product,format,uploads,views,likes,comments,er
덴서티,shorts,16,23768,196,0,0.008246
덴서티,video,2,62,4,0,0.064516
볼뉴머,shorts,4,4334,31,0,0.007153
브이로,shorts,3,1205,8,0,0.006639
브이로,video,1,24,2,0,0.083333
세르프,shorts,21,34513,77,0,0.002231
세르프,video,6,8690,41,0,0.004718
슈링크,shorts,17,18889,147,0,0.007782
슈링크,video,5,577,3,0,0.005199
써마지,shorts,79,257089,945,0,0.003676
써마지,video,38,340033,7207,0,0.021195
올리지오,shorts,12,69941,162,0,0.002316
올리지오,video,4,723,25,0,0.034578
울쎄라,shorts,119,137881,567,0,0.004112
울쎄라,video,33,126725,1270,0,0.010022
인모드,shorts,19,49553,503,0,0.010151
인모드,video,7,64719,71,0,0.001097
쿨소닉,shorts,6,3120,12,0,0.003846
쿨소닉,video,2,3246,25,0,0.007702
쿨페이즈,shorts,6,3614,9,0,0.002490
텐써마,shorts,3,3041,20,0,0.006577
텐써마,video,1,696,7,0,0.010057
텐쎄라,shorts,2,1351,6,0,0.004441
튠페이스,shorts,2,2221,12,0,0.005403
