channelId,channelName,type,uploads,views,likes,comments,avg_views,er,shorts_ratio,median_views,p90_views,avg_subscribers
UCgg59VW6R6NS3flEaXyS0GA,뷰티리뷰,creator,1,1283022,7600,138,1283022.00,0.006031,1.0000,1283022,1283022,20000.00
UCKK2jil37ZnLHHY3vcBKG4A,덴탈피디아 DentalPedia,brand,1,1002680,6800,304,1002680.00,0.007085,1.0000,1002680,1002680,5540.00
UCdQ79dUZ5LdV_Uvi6kZMrHw,신의 목소리,creator,2,1000731,270,1,500365.50,0.000271,1.0000,500365.5,898385.9,265000.00
UCmSWhwjWl7DS8AMVFvtjsMw,뷰티패션,creator,1,406517,1500,5,406517.00,0.003702,1.0000,406517,406517,409.00
UCOEj_y4wNnNyNI1cDeH0dFQ,아는닥터 이원장,creator,4,231250,4301,250,57812.50,0.019680,0.5000,9801,151639.10000000003,48400.00
UCrIk2YG_vR9BZsdbMgFrIzg,여름의원,hospital_clinic,3,178738,72,0,59579.33,0.000403,0.3333,13111,126007,280.00
UCHJPlIINqj9q8G2TBDickPg,배블리[B.LOVELY MUKBANG],creator,1,122043,1900,201,122043.00,0.017215,0.0000,122043,122043,505000.00
UCnLeqvS4Rdbl8Mv-AjEWH_w,아누누,creator,1,120671,2400,20,120671.00,0.020055,1.0000,120671,120671,514000.00
UCeEoSESI-jaZgAh3hdb-mIQ,율짱시대 yoolzzangg,creator,1,107872,1100,24,107872.00,0.010420,1.0000,107872,107872,211000.00
UCDTlhztDq-s7OJZBL1Ymf2A,피부는 성현철,creator,1,86442,2500,77,86442.00,0.029812,0.0000,86442,86442,18500.00
UCh7mBiknSY_HwFE7d-_aZ2Q,또미또미トミトミ,creator,1,79059,170,10,79059.00,0.002277,1.0000,79059,79059,5090.00
UC406mRyBRckVwCg5eFyOl3g,살롱드태윤,creator,2,76226,648,58,38113.00,0.009262,0.5000,38113,41201,13400.00
UCK7v-eIsfif6b-Df8jJ343Q,일타의사 박영진,creator,1,74480,1300,52,74480.00,0.018153,0.0000,74480,74480,203000.00
