product,format,uploads,views,likes,comments,er
덴서티,shorts,26,430863,1625,18,0.003813
덴서티,video,10,68352,1338,301,0.023979
리니어지,shorts,3,746,19,0,0.025469
리프테라,shorts,2,1532,5,5,0.006527
볼뉴머,shorts,18,1018369,304,3,0.000301
볼뉴머,video,7,4081,10,1,0.002695
브이로,shorts,179,255375,2558,460,0.011818
브이로,video,104,239361,3798,824,0.019310
세르프,shorts,32,65792,321,39,0.005472
세르프,video,14,43626,533,56,0.013501
슈링크,shorts,29,1059260,7197,338,0.007113
슈링크,video,33,90859,2624,132,0.030333
써마지,shorts,204,1607099,9038,279,0.005797
써마지,video,58,347552,6825,469,0.020987
올리지오,shorts,21,26199,136,22,0.006031
올리지오,video,10,32458,767,173,0.028961
울쎄라,shorts,201,731309,4937,184,0.007003
울쎄라,video,99,179503,2092,343,0.013565
인모드,shorts,54,54875,176,45,0.004027
인모드,video,26,96799,1706,181,0.019494
쿨소닉,shorts,4,16963,148,4,0.008961
쿨소닉,video,3,3990,13,54,0.016792
쿨페이즈,shorts,2,1675,3,0,0.001791
텐써마,shorts,7,9081,40,2,0.004625
텐써마,video,4,6070,96,12,0.017792
텐쎄라,shorts,2,993,11,1,0.012085
튠페이스,shorts,5,3575,18,0,0.005035
튠페이스,video,2,3451,2,34,0.010432
