weekday,hour,uploads,views
0,0,4,3936
0,3,1,523
0,4,1,1423
0,7,1,540
0,8,2,2014
0,9,2,2966
0,10,15,1076037
0,11,3,9569
0,12,2,817
0,13,5,2069
0,14,2,6156
0,15,5,2503
0,16,3,1181
0,17,8,4500
0,18,8,5475
0,19,5,5081
0,20,12,9383
0,21,6,27413
0,22,7,2498
0,23,4,3106
1,0,3,282
1,1,3,12209
1,5,1,0
1,6,1,230
1,7,1,3
1,8,1,161
1,9,8,6039
1,10,12,15629
1,11,15,16643
1,12,9,7862
1,13,9,5647
1,14,12,19174
1,15,16,14356
1,16,21,48671
1,17,16,28447
1,18,29,37126
1,19,15,35946
1,20,12,60327
1,21,5,30071
1,22,4,3740
1,23,6,3749
2,0,4,1025
2,1,1,5
2,2,2,1123
2,4,1,462
2,5,1,8663
2,7,1,1384
2,8,3,753
2,9,12,10445
2,10,10,25057
2,11,9,5366
2,12,10,39433
2,13,9,7404
2,14,14,25302
2,15,12,8144
2,16,15,15707
2,17,15,19754
2,18,30,1411587
2,19,13,34693
2,20,11,157839
2,21,13,19625
2,22,7,2241
2,23,3,1762
3,0,7,5940
3,3,2,406
3,7,1,947
3,8,2,243
3,9,6,2494
3,10,15,7985
3,11,9,9043
3,12,10,22465
3,13,15,13842
3,14,6,1238
3,15,7,5902
3,16,15,13960
3,17,22,45769
3,18,40,64629
3,19,22,1041931
3,20,9,16166
3,21,6,2772
3,22,7,6845
3,23,3,11830
4,0,3,2536
4,1,1,2175
4,2,3,105
4,3,1,10692
4,6,2,33
4,7,3,1111
4,8,3,2333
4,9,7,5241
4,10,7,2308
4,11,11,5808
4,12,10,4773
4,13,14,15180
4,14,15,10318
4,15,17,8993
4,16,17,131441
4,17,15,9244
4,18,38,728278
4,19,10,33675
4,20,7,7472
4,21,10,8260
4,22,6,4940
4,23,6,2129
5,0,3,211
5,1,1,1
5,2,1,1916
5,6,1,391
5,7,1,75
5,9,4,531
5,10,13,44870
5,11,7,9137
5,12,6,4728
5,13,7,18192
5,14,9,6814
5,15,11,10315
5,16,4,80502
5,17,22,33548
5,18,28,45234
5,19,16,154596
5,20,8,132890
5,21,6,4952
5,22,8,5167
5,23,3,832
6,3,1,55
6,8,3,644
6,9,2,282
6,10,11,21593
6,11,9,11421
6,12,8,7048
6,13,8,12896
6,14,7,4336
6,15,4,6081
6,16,4,1960
6,17,8,128197
6,18,4,34877
6,19,10,9638
6,20,5,13600
6,21,4,2074
6,22,8,4037
6,23,3,3439
