키워드,블로그유형,총 개수,댓글 총 개수,대댓글 총 개수,발행량합,기기구분,발행량 순위
쿨페이즈,병원블로그,61,7,0,101,고주파,9
,플레이스블로그,,,,,,
,일반블로그,40,24,4,,,
덴서티,병원블로그,365,508,45,811,고주파,3
,플레이스블로그,47,8,0,,,
,일반블로그,399,236,33,,,
튠페이스,병원블로그,81,121,2,251,고주파,8
,플레이스블로그,17,17,0,,,
,일반블로그,153,406,251,,,
올리지오,병원블로그,446,735,36,784,고주파,4
,플레이스블로그,80,6,0,,,
,일반블로그,258,340,69,,,
볼뉴머,병원블로그,206,630,7,414,고주파,5
,플레이스블로그,21,6,0,,,
,일반블로그,187,458,135,,,
텐써마,병원블로그,189,352,22,355,고주파,6
,플레이스블로그,11,1,0,,,
,일반블로그,155,302,109,,,
써마지,병원블로그,1698,2274,228,6243,고주파,1
,플레이스블로그,1200,139,0,,,
,일반블로그,3345,837,345,,,
세르프,병원블로그,201,128,20,342,고주파,7
,플레이스블로그,31,2,0,,,
,일반블로그,110,187,90,,,
인모드,병원블로그,1000,1350,50,4142,고주파,2
,플레이스블로그,408,138,4,,,
,일반블로그,2734,3404,598,,,
리프테라,병원블로그,100,148,8,176,초음파,6
,플레이스블로그,1,0,0,,,
,일반블로그,75,48,19,,,
쿨소닉,병원블로그,20,6,5,34,초음파,8
,플레이스블로그,,,,,,
,일반블로그,14,24,13,,,
리니어펌,병원블로그,19,42,3,30,초음파,9
,플레이스블로그,1,1,0,,,
,일반블로그,10,2,2,,,
튠라이너,병원블로그,19,23,0,74,초음파,7
,플레이스블로그,,,,,,
,일반블로그,55,149,44,,,
울쎄라,병원블로그,3020,4584,356,8904,초음파,1
,플레이스블로그,1372,580,12,,,
,일반블로그,4512,3128,760,,,
슈링크,병원블로그,1118,1456,72,4284,초음파,2
,플레이스블로그,776,114,6,,,
,일반블로그,2390,2216,866,,,
리니어지,병원블로그,107,133,3,255,초음파,4
,플레이스블로그,13,3,0,,,
,일반블로그,135,77,25,,,
브이로,병원블로그,60,68,1,194,초음파,5
,플레이스블로그,5,0,0,,,
,일반블로그,129,327,156,,,
텐쎄라,병원블로그,140,329,10,269,초음파,3
,플레이스블로그,18,0,0,,,
,일반블로그,111,162,109,,,
