기기구분,병원명,url,포스팅 날짜
리프테라,페이브피부과,https://m.blog.naver.com/yuhaliving/223970489674,8/14
,페이브피부과,https://blog.naver.com/isk1210/223978265284,8/21
,앤봄의원,https://blog.naver.com/happy_young0/223978574728,8/21
,앤봄의원,https://m.blog.naver.com/alsalswl317/223979796401,8/22
쿨페이즈,닥터클린의원,https://m.blog.naver.com/wdp1ys/223955213537,8/2
,연세봄봄의원,https://m.blog.naver.com/twinklebunny/223958533319,8/4
,마노필의원,https://blog.naver.com/kidi01/223962243599,8/7
,온리빛의원,https://blog.naver.com/keayu/223966684117,8/11
,필스토리의원(전주),https://blog.naver.com/luvsong-e/223968411810,8/12
,사르티네의원,https://blog.naver.com/sihhigh90/223979353387,8/22
,센텀리즈온의원,https://blog.naver.com/oliver1224/223985176805,8/27
,대시봄날의원(지축),https://m.blog.naver.com/zavellapp/223985733144,8/27
쿨소닉,사르티네의원,https://youtu.be/u-gUZY8kfpI?si=mOpBYhCPmgHz-xUj,8/11
,비본영의원,https://blog.naver.com/sailorsaturn/223952935533,8/1
,비본영의원,https://blog.naver.com/tkdrns1415/223958155319,8/4
,비본영의원,https://m.blog.naver.com/bcd314/223966761622,8/11
,서울그레이스피부과,https://blog.naver.com/bitfeel2/223968999295,8/13
,사르티네의원,https://blog.naver.com/sihhigh90/223979353387,8/22
,미엘르의원(서면),https://m.blog.naver.com/gydms122/223985450755,8/27
