키워드,그룹,총 발행량,총 댓글수,총 대댓글수,총 조회수,발행량 순위
써마지,고주파,1258,7357,2023,99041,1
인모드,고주파,752,3866,1163,58850,3
덴서티,고주파,489,2113,412,41778,4
쿨페이즈,고주파,789,5255,706,45450,2
올리지오,고주파,194,1108,337,12395,6
튠페이스,고주파,150,1251,296,12525,7
세르프,고주파,212,1000,225,19013,5
텐써마,고주파,84,435,144,10136,8
볼뉴머,고주파,77,457,141,6022,9
울쎄라,초음파,1321,6565,1758,70341,1
슈링크,초음파,551,3189,1003,51733,3
쿨소닉,초음파,605,4275,600,26467,2
리프테라,초음파,503,3706,598,28225,4
리니어지,초음파,146,210,37,10498,5
브이로,초음파,83,613,139,8199,6
텐쎄라,초음파,52,238,58,2594,7
튠라이너,초음파,40,183,90,4250,8
리니어펌,초음파,3,13,0,51,9
