키워드,블로그명,URL,총 발행 개수,순위
쿨페이즈,뉴리즈의원,https://blog.naver.com/min8c,3,1
쿨페이즈,더블에이의원,https://blog.naver.com/shiningspringdayz,3,2
쿨페이즈,치유앤미성형외과,https://blog.naver.com/chiyuandme,2,3
쿨페이즈,피부미용 연세봄봄의원,https://blog.naver.com/yonseibombom,2,4
쿨페이즈,Be Born Young [비본영의원],https://blog.naver.com/s5gageqiy,2,5
쿨페이즈,[유어힐의원] YOUR HEAL,https://blog.naver.com/hbvu34mes,1,6
쿨페이즈,대구 다온피부과,https://blog.naver.com/cfghdrtfuhrtf,1,7
쿨페이즈,디테일의원 수원점,https://blog.naver.com/coruscation368,1,8
쿨페이즈,리즈온클리닉 부산,https://blog.naver.com/lizonbusan,1,9
쿨페이즈,리즈온클리닉 센텀점,https://blog.naver.com/lizoncentum-,1,10
덴서티,메디컬 웰니스 저널,https://blog.naver.com/lew147350,27,1
덴서티,닥터에버스의원,https://blog.naver.com/khyun27155,23,2
덴서티,닥터에버스,https://blog.naver.com/doldorimung,18,3
덴서티,메디컬트렌드뉴스,https://blog.naver.com/jbpqciey984961,14,4
덴서티,"피부에 휴식을 드리는 편안한 공간, 청담레스트의원",https://blog.naver.com/xywbqf51002,14,5
덴서티,얼루어성형외과의원,https://blog.naver.com/susandonaldson,9,6
덴서티,여의공감성형외과,https://blog.naver.com/hddcjp5yc,9,7
덴서티,클린톡스의원,https://blog.naver.com/goldenzebra202,9,8
덴서티,아름다운성형외과의원,https://blog.naver.com/nellfeldman,8,9
덴서티,건강 닥터 피부 칼럼,https://blog.naver.com/reefstore,7,10
튠페이스,아름다움을 전하는 리샤인의원,https://blog.naver.com/reveal8228,10,1
튠페이스,청담리투의원,https://blog.naver.com/aexpqebai,7,2
튠페이스,플래티넘 클리닉,https://blog.naver.com/alchandoctor,4,3
튠페이스,송도피부과파크뷰의원,https://blog.naver.com/rat3427,3,4
튠페이스,엘레브의원,https://blog.naver.com/elevclinic,3,5
튠페이스,"15년 경험의 디테일, 결과로 증명합니다º 세인트의원",https://blog.naver.com/icehi0303,2,6
튠페이스,도진우 원장 - 제이디클리닉 (강남신사점),https://blog.naver.com/jdclinicsinsa,2,7
튠페이스,세라미크의원,https://blog.naver.com/best_sseul,2,8
튠페이스,스킨메디피부과 공식블로그,https://blog.naver.com/skin-medi,2,9
튠페이스,윤지현원장의 피부 이야기,https://blog.naver.com/gjuni114,2,10
올리지오,닥터에버스,https://blog.naver.com/everscd06,59,1
