기기구분,캠페인,통화 코드,평균 CPV,조회수,동영상,,,,유튜브광고
쿨페이즈,2509_쿨페이즈 오피셜 (cpm),KRW,₩21,"1,555,495",https://www.youtube.com/watch?v=iTonMF_BpqM,,,,
쿨페이즈,2509_루니아산본 쿨페이즈,KRW,₩259,"11,923",https://www.youtube.com/watch?v=Gb9aGpBCZZQ,,,,
쿨페이즈,2509_유어힐의원 쿨페이즈 본편,KRW,₩297,"11,099",https://www.youtube.com/watch?v=rfvVIbvYlto,,,,
쿨페이즈,2509_온리빛 쿨페이즈 쇼츠,KRW,₩77,"4,306",https://www.youtube.com/watch?v=munGH2iwN_Q,,,,
쿨페이즈,2509_온리영 쿨페이즈 쇼츠,KRW,₩121,"2,328",https://www.youtube.com/watch?v=lJOpciOPBDo,,,,
쿨페이즈,2509_피부작가닥터 심현석 쿨페이즈 본편,KRW,₩366,"7,791",https://www.youtube.com/watch?v=C21aoiGuMqU,,,,
쿨페이즈,2509_강남오엘의원 쿨페이즈 쇼츠,KRW,₩101,"1,740",https://www.youtube.com/watch?v=htMcnz7rQ5M,,,,
쿨페이즈,2509_리앤장 쇼츠_쿨페이즈 피부관리,KRW,222,"1,943",https://www.youtube.com/watch?v=b5W1YfLMMuc,,,,
쿨페이즈,2509_청담메자닌의원쇼츠,KRW,119,"1,977",https://www.youtube.com/watch?v=0J7pEdiGr6w,,,,
쿨페이즈,2509_금손의사 쿨페이즈 쇼츠,KRW,198,"1,980",https://www.youtube.com/watch?v=xgcX-iOWACc,,,,
쿨페이즈,2509_루니아의원 경산 쿨페이즈 쇼츠2,KRW,143,"1,354",https://www.youtube.com/watch?v=q7uJfmntKmY,,,,
쿨페이즈,2509 영춘tv 쿨페이즈 (cpm),KRW,281,"8,317",https://www.youtube.com/watch?v=d_1ydBud5LA,,,,
쿨페이즈,2509_리앤장쇼츠_쿨페이즈모공관리,KRW,86,"3,533",https://www.youtube.com/watch?v=ojWagen3LY8,,,,
쿨페이즈,2509_반진tv 본편,KRW,301,"11,035",https://www.youtube.com/watch?v=MhJamnjj35g,,,,
쿨페이즈,2509_미소미의원 쿨페이즈 본편,KRW,178,"23,505",https://www.youtube.com/watch?v=zJN8C1ZEG60,,,,
쿨페이즈,2509_더유스 쿨페이즈 쇼츠,KRW,298,677,https://www.youtube.com/watch?v=HMdoSknagn4,,,,
쿨페이즈,2509_온리빛 쿨페이즈 쇼츠,KRW,227,"1,132",https://www.youtube.com/watch?v=yMkbsHv3KsU,,,,
쿨페이즈,2509_쿨소닉 미도의원,KRW,249,"3,013",https://www.youtube.com/watch?v=m0vR410od-s,,,,
쿨페이즈,2509_금손의사 쿨페이즈 본편,KRW,199,"18,573",https://www.youtube.com/watch?v=ecPwTy22o2o,,,,
쿨페이즈,2509_더유스 쿨페이즈 쇼츠,KRW,99,"5,384",https://www.youtube.com/watch?v=rPzTzD2xSTU,,,,
쿨페이즈,2509_온리영 쿨페이즈 쇼츠,KRW,103,"2,974",https://www.youtube.com/watch?v=aDf1oqcOcvM,,,,
쿨페이즈,2509_닥터리프팅 쿨페이즈 본편,KRW,262,"12,370",https://www.youtube.com/watch?v=nLkzZSKMKhM,,,,
쿨페이즈,2509_강남오엘의원 쿨페이즈 쇼츠,KRW,98,"1,548",https://www.youtube.com/watch?v=b-_ltNTb4yQ,,,,
쿨페이즈,2509_금손의사 쿨페이즈 쇼츠,KRW,131,"2,647",https://www.youtube.com/watch?v=KH32o3LXKbc,,,,
쿨페이즈,2509_뉴리즈인천 쿨페이즈 쇼츠,KRW,142,"7,315",https://www.youtube.com/watch?v=ShmuqFgw8_8,,,,
쿨페이즈,2509_닥디쿨페이즈,KRW,91,"7,418",https://www.youtube.com/watch?v=4HCcK2B_pbQ,,,,
쿨페이즈,2509_루니아의원 경산 쿨페이즈 쇼츠,KRW,89,"2,905",https://www.youtube.com/watch?v=K5Ya_oMAPpo,,,,
쿨페이즈,2509_청담메자닌의원쇼츠,KRW,198,536,https://www.youtube.com/watch?v=nWy5c3BEAzI,,,,
쿨소닉,2509_예젤의원 쿨소닉,KRW,297,"35,251",https://youtu.be/pk0REZmVgds?si=MLxGscj29X6PZ38d,,,,
리프테라,"리프테라2. 효과 2배, 만족도 2배 높아진 가성비 갑 리프팅 레이저! 적은 샷 수로 최대 효과 비법 #2",KRW,35,"22,300",https://www.youtube.com/watch?v=xCPMSZqBylI,,,,
