키워드,블로그유형,총 개수,발행량합,기기구분,발행량 순위,총발행량
쿨페이즈,병원블로그,52,255,고주파,9,30348
,플레이스블로그,11,,,,
,일반블로그,192,,,,
덴서티,병원블로그,325,524,고주파,5,
,플레이스블로그,14,,,,
,일반블로그,185,,,,
튠페이스,병원블로그,142,344,고주파,8,
,플레이스블로그,16,,,,
,일반블로그,186,,,,
올리지오,병원블로그,566,1056,고주파,3,
,플레이스블로그,39,,,,
,일반블로그,451,,,,
볼뉴머,병원블로그,295,467,고주파,7,
,플레이스블로그,5,,,,
,일반블로그,167,,,,
텐써마,병원블로그,320,511,고주파,6,
,플레이스블로그,14,,,,
,일반블로그,177,,,,
써마지,병원블로그,2035,6028,고주파,1,
,플레이스블로그,725,,,,
,일반블로그,3268,,,,
세르프,병원블로그,259,557,고주파,4,
,플레이스블로그,38,,,,
,일반블로그,260,,,,
인모드,병원블로그,2194,5459,고주파,2,
,플레이스블로그,250,,,,
,일반블로그,3015,,,,
리프테라,병원블로그,125,218,초음파,6,
,플레이스블로그,5,,,,
,일반블로그,88,,,,
쿨소닉,병원블로그,35,116,초음파,7,
,플레이스블로그,22,,,,
,일반블로그,59,,,,
리니어펌,병원블로그,32,54,초음파,9,
,플레이스블로그,2,,,,
,일반블로그,20,,,,
튠라이너,병원블로그,38,89,초음파,8,
,플레이스블로그,2,,,,
,일반블로그,49,,,,
울쎄라,병원블로그,2514,8532,초음파,1,
,플레이스블로그,1692,,,,
,일반블로그,4326,,,,
슈링크,병원블로그,1356,5134,초음파,2,
,플레이스블로그,592,,,,
,일반블로그,3186,,,,
리니어지,병원블로그,123,457,초음파,3,
,플레이스블로그,10,,,,
,일반블로그,324,,,,
브이로,병원블로그,94,313,초음파,4,
,플레이스블로그,14,,,,
,일반블로그,205,,,,
텐쎄라,병원블로그,172,234,초음파,5,
,플레이스블로그,6,,,,
,일반블로그,56,,,,
