기기구분,캠페인,통화 코드,평균 CPV,조회수,동영상,유튜브광고
쿨페이즈,2510_쿨페이즈 오피셜,KRW,₩25,255178,https://www.youtube.com/watch?v=iTonMF_BpqM,
쿨페이즈,2510_금손의사 쿨페이즈 쇼츠,KRW,₩89,1927,https://www.youtube.com/watch?v=KH32o3LXKbc,
쿨페이즈,2510_닥터가이드 본편,KRW,₩276,5431,https://www.youtube.com/watch?v=mmFQ_GgsAIk,
쿨페이즈,2510_강남오엘의원 쿨페이즈 쇼츠,KRW,₩85,1784,https://www.youtube.com/watch?v=b-_ltNTb4yQ,
쿨페이즈,2510_온리영 쿨페이즈 쇼츠,KRW,₩129,805,https://www.youtube.com/watch?v=aDf1oqcOcvM,
쿨페이즈,2510_뉴리즈인천 쿨페이즈 쇼츠,KRW,₩74,6764,https://www.youtube.com/watch?v=ShmuqFgw8_8,
쿨페이즈,2510_리앤장쇼츠_쿨페이즈모공관리,KRW,130,2769,https://www.youtube.com/watch?v=ojWagen3LY8,
쿨페이즈,2510_유어힐의원 쿨페이즈 본편,KRW,279,8681,https://www.youtube.com/watch?v=rfvVIbvYlto,
쿨페이즈,2510_강남오엘의원 쿨페이즈 쇼츠,KRW,105,2371,https://www.youtube.com/watch?v=htMcnz7rQ5M,
쿨페이즈,2510_온리영 쿨페이즈 쇼츠,KRW,110,388,https://www.youtube.com/watch?v=lJOpciOPBDo,
쿨페이즈,2510_피부작가닥터 심현석 쿨페이즈 본편,KRW,254,7866,https://www.youtube.com/watch?v=C21aoiGuMqU,
쿨페이즈,2510_반진tv 본편,KRW,245,10566,https://www.youtube.com/watch?v=MhJamnjj35g,
쿨페이즈,2510_닥디쿨페이즈,KRW,87,5740,https://www.youtube.com/watch?v=4HCcK2B_pbQ,
쿨페이즈,2510_온리빛 쿨페이즈 쇼츠,KRW,113,1347,https://www.youtube.com/watch?v=yMkbsHv3KsU,
쿨페이즈,2510_루니아산본 쿨페이즈,KRW,299,8898,https://www.youtube.com/watch?v=Gb9aGpBCZZQ,
쿨페이즈,2510_닥터리프팅 쿨페이즈 본편,KRW,258,8417,https://www.youtube.com/watch?v=nLkzZSKMKhM,
쿨페이즈,2510 영춘tv 쿨페이즈 (cpm),KRW,265,5661,https://www.youtube.com/watch?v=d_1ydBud5LA,
쿨페이즈,2510_미소미의원 쿨페이즈 본편,KRW,178,19644,https://www.youtube.com/watch?v=zJN8C1ZEG60,
쿨페이즈,2510_청담메자닌의원쇼츠,KRW,116,2415,https://www.youtube.com/watch?v=0J7pEdiGr6w,
쿨페이즈,2510_금손의사 쿨페이즈 쇼츠,KRW,178,1224,https://www.youtube.com/watch?v=xgcX-iOWACc,
쿨페이즈,2510_리앤장쇼츠_쿨페이즈모공관리,KRW,0,0,https://www.youtube.com/watch?v=ntq6RrLiwwo,
쿨페이즈,2510_금손의사 쿨페이즈 본편,KRW,193,10356,https://www.youtube.com/watch?v=ecPwTy22o2o,
쿨페이즈,2510_온리빛 쿨페이즈 쇼츠,KRW,84,3069,https://www.youtube.com/watch?v=munGH2iwN_Q,
쿨페이즈,2510_청담메자닌의원쇼츠,KRW,189,625,https://www.youtube.com/watch?v=nWy5c3BEAzI,
쿨소닉,2510_쿨소닉 미도의원,KRW,266,3002,https://www.youtube.com/watch?v=m0vR410od-s,
쿨소닉,2510_삼성맑은피부과 쿨소닉,KRW,162,8111,https://www.youtube.com/watch?v=R3QHfei-YvE,
쿨소닉,2510_쿨소닉 고우석원장,KRW,445,2240,https://www.youtube.com/watch?v=hvdJ7OzZYdI,
쿨소닉,2510_앤킴 쿨소닉 2,KRW,236,2206,https://www.youtube.com/watch?v=Ll5Hfw3O3wA,
쿨소닉,2510_비본영 쿨소닉,KRW,225,7988,https://www.youtube.com/watch?v=hl88ch98waE,
쿨소닉,2510_앤킴 쿨소닉 3,KRW,207,2801,https://www.youtube.com/watch?v=MOq6yXXwx8Y,
쿨소닉,2510_앤킴 쿨소닉 1,KRW,210,2727,https://www.youtube.com/watch?v=moYpdimAEVk,
쿨소닉,2510_시그널성형외과 쿨소닉,KRW,251,1997,https://www.youtube.com/watch?v=a2As-aEJX80,
