키워드,블로그유형,총 개수,댓글 총 개수,대댓글 총 개수,발행량합,기기구분,발행량 순위
쿨페이즈,병원블로그,18,2,0,38,고주파,9
,플레이스블로그,,,,,,
,일반블로그,20,10,4,,,
덴서티,병원블로그,93,224,32,203,고주파,4
,플레이스블로그,20,3,0,,,
,일반블로그,90,199,36,,,
튠페이스,병원블로그,26,40,0,106,고주파,8
,플레이스블로그,6,8,0,,,
,일반블로그,74,169,105,,,
올리지오,병원블로그,146,349,1,299,고주파,3
,플레이스블로그,22,3,0,,,
,일반블로그,131,158,57,,,
볼뉴머,병원블로그,56,284,18,175,고주파,5
,플레이스블로그,7,0,0,,,
,일반블로그,112,235,71,,,
텐써마,병원블로그,58,187,3,122,고주파,7
,플레이스블로그,5,1,0,,,
,일반블로그,59,164,61,,,
써마지,병원블로그,163,231,20,928,고주파,2
,플레이스블로그,211,18,0,,,
,일반블로그,554,460,94,,,
세르프,병원블로그,73,71,11,139,고주파,6
,플레이스블로그,14,0,0,,,
,일반블로그,52,166,141,,,
인모드,병원블로그,131,259,3,941,고주파,1
,플레이스블로그,71,23,0,,,
,일반블로그,739,898,105,,,
리프테라,병원블로그,34,71,4,63,초음파,6
,플레이스블로그,,,,,,
,일반블로그,29,25,5,,,
쿨소닉,병원블로그,8,2,0,13,초음파,8
,플레이스블로그,,,,,,
,일반블로그,5,7,2,,,
리니어펌,병원블로그,7,37,2,13,초음파,9
,플레이스블로그,1,1,0,,,
,일반블로그,5,0,0,,,
튠라이너,병원블로그,7,11,0,31,초음파,7
,플레이스블로그,,,,,,
,일반블로그,24,71,10,,,
울쎄라,병원블로그,187,416,11,904,초음파,1
,플레이스블로그,207,4,0,,,
,일반블로그,510,382,102,,,
슈링크,병원블로그,200,394,14,904,초음파,2
,플레이스블로그,177,27,0,,,
,일반블로그,527,686,260,,,
리니어지,병원블로그,34,97,2,91,초음파,3
,플레이스블로그,2,0,0,,,
,일반블로그,55,33,4,,,
브이로,병원블로그,26,29,0,88,초음파,5
,플레이스블로그,3,0,0,,,
,일반블로그,59,135,43,,,
텐쎄라,병원블로그,32,235,9,91,초음파,4
,플레이스블로그,9,0,0,,,
,일반블로그,50,73,49,,,
