기기구분,병원명,url,포스팅 날짜
리프테라,스위츠,https://blog.naver.com/llama0120,8/12
,비본영,https://blog.naver.com/llama0121,8/13
,리마인드,https://blog.naver.com/llama0122,8/14
,유어힐,https://blog.naver.com/llama0123,8/15
쿨페이즈,스위츠,https://blog.naver.com/llama0120,8/12
,비본영,https://blog.naver.com/llama0121,8/13
,리마인드,https://blog.naver.com/llama0122,8/14
,유어힐,https://blog.naver.com/llama0123,8/15
쿨소닉,스위츠,https://blog.naver.com/llama0120,8/12
,비본영,https://blog.naver.com/llama0121,8/13
,리마인드,https://blog.naver.com/llama0122,8/14
,유어힐,https://blog.naver.com/llama0123,8/15
