기기구분,No.,작업일,진행카페,작업ULR,닉네임
리프테라,1,2025.07.01,여우야,https://cafe.naver.com/feko/9646791,허니치즈케익
,2,2025.07.01,여우야+,https://cafe.naver.com/fox5282/4245529,디테일무드
,3,2025.07.01,재잘재잘,https://cafe.naver.com/knife67/353105,김쏘연맘
,4,2025.07.01,여우야+,https://cafe.naver.com/fox5282/4244205,뽀삐뽀삐유
,5,2025.07.01,성형위키백과,https://cafe.naver.com/juliett00/1460787,상큼한별
,6,2025.07.01,재잘재잘,https://cafe.naver.com/knife67/354070,당진의여신
,7,2025.07.01,여우야+,https://cafe.naver.com/fox5282/4246248,나하나만빼고
,8,2025.07.01,성형위키백과,https://cafe.naver.com/juliett00/1461591,소라카이
쿨페이즈,1,2025.07.01,여우야,https://cafe.naver.com/feko/9646791,허니치즈케익
,2,2025.07.01,여우야+,https://cafe.naver.com/fox5282/4245529,디테일무드
,3,2025.07.01,재잘재잘,https://cafe.naver.com/knife67/353105,김쏘연맘
,4,2025.07.01,여우야+,https://cafe.naver.com/fox5282/4244205,뽀삐뽀삐유
,5,2025.07.01,성형위키백과,https://cafe.naver.com/juliett00/1460787,상큼한별
,6,2025.07.01,재잘재잘,https://cafe.naver.com/knife67/354070,당진의여신
,7,2025.07.01,여우야+,https://cafe.naver.com/fox5282/4246248,나하나만빼고
,8,2025.07.01,성형위키백과,https://cafe.naver.com/juliett00/1461591,소라카이
쿨소닉,1,2025.07.01,여우야,https://cafe.naver.com/feko/9646791,허니치즈케익
,2,2025.07.01,여우야+,https://cafe.naver.com/fox5282/4245529,디테일무드
,3,2025.07.01,재잘재잘,https://cafe.naver.com/knife67/353105,김쏘연맘
,4,2025.07.01,여우야+,https://cafe.naver.com/fox5282/4244205,뽀삐뽀삐유
,5,2025.07.01,성형위키백과,https://cafe.naver.com/juliett00/1460787,상큼한별
,6,2025.07.01,재잘재잘,https://cafe.naver.com/knife67/354070,당진의여신
,7,2025.07.01,여우야+,https://cafe.naver.com/fox5282/4246248,나하나만빼고
,8,2025.07.01,성형위키백과,https://cafe.naver.com/juliett00/1461591,소라카이
