기기구분,병원명,url,릴리즈 날짜
리프테라,스위츠,https://www.medisobizanews.com/news/articleView.html?idxno=123827,8/12
,비본영,https://www.rapportian.com/news/articleView.html?idxno=218506,8/13
,리마인드,https://www.rapportian.com/news/articleView.html?idxno=218878,8/14
,유어힐,https://mdtoday.co.kr/news/view/1065589200252854,8/15
쿨페이즈,스위츠,https://www.rapportian.com/news/articleView.html?idxno=220479,8/12
,비본영,https://www.medisobizanews.com/news/articleView.html?idxno=126093,8/13
,리마인드,https://mdtoday.co.kr/news/view/1065587676144484,8/14
,유어힐,https://www.rapportian.com/news/articleView.html?idxno=223881,8/15
쿨소닉,스위츠,https://mdtoday.co.kr/news/view/1065592366577181,8/12
,비본영,https://www.rapportian.com/news/articleView.html?idxno=217368,8/13
,리마인드,https://www.rapportian.com/news/articleView.html?idxno=218464,8/14
,유어힐,https://www.medisobizanews.com/news/articleView.html?idxno=123820,8/15
