기기구분,병원명,url,업로드 날짜
리프테라,스위츠,https://www.youtube.com/watch?v=iTonMF_BpqM,8/12
,비본영,https://www.youtube.com/watch?v=nLkzZSKMKhM,8/13
,리마인드,https://www.youtube.com/watch?v=C21aoiGuMqU,8/14
,유어힐,https://www.youtube.com/watch?v=Gb9aGpBCZZQ,8/15
쿨페이즈,스위츠,https://www.youtube.com/watch?v=rfvVIbvYlto,8/12
,비본영,https://www.youtube.com/watch?v=xejOIRS74vY,8/13
,리마인드,https://www.youtube.com/watch?v=zJN8C1ZEG60,8/14
,유어힐,https://www.youtube.com/watch?v=MhJamnjj35g,8/15
쿨소닉,스위츠,https://www.youtube.com/watch?v=ecPwTy22o2o,8/12
,비본영,https://www.youtube.com/watch?v=mmFQ_GgsAIk,8/13
,리마인드,https://www.youtube.com/watch?v=cw8VODVKHOg,8/14
,유어힐,https://www.youtube.com/watch?v=d_1ydBud5LA,8/15
