product,brand,category,videos,views,likes,comments,views_avg,likes_avg,comments_avg,engagement_rate,shorts_ratio,views_median,views_p90,sov_posts,sov_views
써마지,competitor,RF,117,597122,8152,0,5103.61,69.68,0.00,0.013652,0.6752,463,4555.600000000002,0.286765,0.516535
울쎄라,competitor,HIFU,152,264606,1837,0,1740.83,12.09,0.00,0.006942,0.7829,500,2177.1000000000004,0.372549,0.228895
인모드,competitor,RF,26,114272,574,0,4395.08,22.08,0.00,0.005023,0.7308,1534.5,12908,0.063725,0.098850
올리지오,competitor,RF,16,70664,187,0,4416.50,11.69,0.00,0.002646,0.7500,2129,11503.5,0.039216,0.061127
세르프,competitor,RF,27,43203,118,0,1600.11,4.37,0.00,0.002731,0.7778,503,3851.8000000000047,0.066176,0.037372
덴서티,competitor,RF,18,23830,200,0,1323.89,11.11,0.00,0.008393,0.8889,1394.5,2713.9000000000005,0.044118,0.020614
슈링크,competitor,HIFU,22,19466,150,0,884.82,6.82,0.00,0.007706,0.7727,757.5,1761.7,0.053922,0.016839
쿨소닉,asterasys,HIFU,8,6366,37,0,795.75,4.63,0.00,0.005812,0.7500,358.5,1872.6999999999998,0.019608,0.005507
볼뉴머,competitor,RF,4,4334,31,0,1083.50,7.75,0.00,0.007153,1.0000,1047.5,1744.1000000000001,0.009804,0.003749
텐써마,competitor,RF,4,3737,27,0,934.25,6.75,0.00,0.007225,0.7500,961.5,1454.5,0.009804,0.003233
쿨페이즈,asterasys,RF,6,3614,9,0,602.33,1.50,0.00,0.002490,1.0000,461.5,1166,0.014706,0.003126
튠페이스,competitor,RF,2,2221,12,0,1110.50,6.00,0.00,0.005403,1.0000,1110.5,1898.9,0.004902,0.001921
텐쎄라,competitor,HIFU,2,1351,6,0,675.50,3.00,0.00,0.004441,1.0000,675.5,788.7,0.004902,0.001169
브이로,competitor,HIFU,4,1229,10,0,307.25,2.50,0.00,0.008137,0.7500,364.5,456.2,0.009804,0.001063
리프테라,asterasys,HIFU,0,0,0,0,0.00,0.00,0.00,0.000000,0.0000,0,0,0.000000,0.000000
리니어지,competitor,HIFU,0,0,0,0,0.00,0.00,0.00,0.000000,0.0000,0,0,0.000000,0.000000
튠라이너,competitor,HIFU,0,0,0,0,0.00,0.00,0.00,0.000000,0.0000,0,0,0.000000,0.000000
리니어펌,competitor,HIFU,0,0,0,0,0.00,0.00,0.00,0.000000,0.0000,0,0,0.000000,0.000000
