기기구분,병원명,url,포스팅 날짜
쿨페이즈,더고운의원,https://blog.naver.com/gaengster23/223983941340,9/1
쿨페이즈,다시봄날의원 지축점,https://blog.naver.com/kayoung_jw/223991691525,9/1
쿨페이즈,마노필의원,https://m.blog.naver.com/ssimyeonii/223993811433,9/3
쿨페이즈,다시봄날의원 지축점,https://m.blog.naver.com/songofthestar/224009459838,9/16
쿨페이즈,다시봄날의원 지축점,https://m.blog.naver.com/1-986/224018745049,9/23
쿨페이즈,다시봄날의원 지축점,https://blog.naver.com/cute0760/224026213473,9/29
쿨소닉,미엘르의원 부산서면,https://m.blog.naver.com/allisa_kim/224000832996,9/9
쿨소닉,서울그레이스피부과,https://m.blog.naver.com/more16/224001114574,9/9
쿨소닉,청담헤아린의원,https://m.blog.naver.com/joung4211/224006217493,9/13
쿨소닉,미엘르의원 부산서면,https://blog.naver.com/imgss/224008075903,9/14
쿨소닉,미엘르의원 부산서면,https://m.blog.naver.com/thumbly/224014457382,9/19
쿨소닉,서울그레이스피부과,https://m.blog.naver.com/grow_sun/224017612588,9/22
쿨소닉,청담헤아린의원,https://blog.naver.com/alswn2th/224026144346,9/29
