기기,지역,매체명,매체 위치,매체 유형,1일 송출횟수,수량,기간,광고기간
쿨페이즈,서울,도산대로 버스쉘터,영동고교앞 23-432,버스쉘터,2면 (양면),1개월,2025. 10. 01 ~ 2025. 10. 31,2025. 09. 01 ~ 2025. 09. 30
쿨페이즈,서울,도산대로 버스쉘터,농협앞 23-180,버스쉘터,1면 (차도면),1개월,2025. 10. 01 ~ 2025. 10. 31,2025. 09. 01 ~ 2025. 09. 30
쿨페이즈,서울,도산대로 버스쉘터,씨네시티.앞 23-161,버스쉘터,2면 (양면),1개월,2025. 10. 01 ~ 2025. 10. 31,2025. 09. 01 ~ 2025. 09. 30
쿨페이즈,서울,압구정로 버스쉘터,신구중학교 23-163,버스쉘터,2면 (양면),16일,2025. 10. 01 ~ 2025. 10. 31,2025. 09. 01 ~ 2025. 09. 30
쿨페이즈,서울,잠실 대우 유토피아 전광판,서울시 송파구 올림픽로 336,전광판,10초 100회,1구좌,1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,서울,여의도 유진빌딩 전광판,서울시 영등포구 국제금융로 24,전광판,30초 100회,1구좌,1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,서울,노원역 KB빌딩 전광판,서울시 노원구 동일로 1405,전광판,30초 100회,1구좌,1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,서울,경복궁역 현대 적선빌딩 전광판,서울시 종로구 사직로 130,전광판,30초 70회,1구좌,1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,서울,이태원역 KB빌딩 전광판,서울시 용산구 이태원로 186,전광판,30초 70회,1구좌,1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,서울,부평역 KB빌딩 전광판,인천시 부평구 부평대로 20,전광판,30초 70회,1구좌,1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,서울,강남역 광역 버스쉘터,강남역12번출구(A) 23-494,버스쉘터,All day,2면,1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,대구,대구 반월당역 1호선 스크린도어 상하행,,스크린도어,All day,2기 (상하행),1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,대구,대구 시내버스 외부 부착광고,,버스 부착광고,All day,15대,1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,부산,부산 서면역 승강장 2호선 스크린도어 상하행,,스크린도어,All day,2기 (상하행),1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,부산,부산 서면역 스마트 쉼터형 버스 승차대,,버스쉘터,All day,1기 2면,1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,부산,부산 부전역 중앙대로 BRT 승차대,,버스쉘터,All day,1기 2면,1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,부산,부산 시내버스 외부 부착광고,,버스 부착광고,All day,15대,1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,광주,광주 신세계 사거리 대산빌딩 전광판,광주 서구 죽봉대로 95,전광판,20초 120회,2구좌,1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,서울,도산대로 버스쉘터,영동고교앞 23-432,버스쉘터,All day,2면 (양면),1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,서울,도산대로 버스쉘터,농협앞 23-180,버스쉘터,All day,1면 (차도면),1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,서울,도산대로 버스쉘터,씨네시티.앞 23-161,버스쉘터,All day,2면 (양면),1개월,2025. 10. 01 ~ 2025. 10. 31
쿨페이즈,서울,압구정로 버스쉘터,신구중학교 23-163,버스쉘터,All day,2면 (양면),16일,2025. 10. 01 ~ 2025. 10. 31
