키워드,블로그유형,총 개수,발행량합,기기구분,발행량 순위,총발행량
쿨페이즈,병원블로그,59,262,고주파,9,55378
,플레이스블로그,10,,,,
,일반블로그,193,,,,
덴서티,병원블로그,360,587,고주파,5,
,플레이스블로그,10,,,,
,일반블로그,217,,,,
튠페이스,병원블로그,167,383,고주파,8,
,플레이스블로그,17,,,,
,일반블로그,199,,,,
올리지오,병원블로그,626,1160,고주파,3,
,플레이스블로그,42,,,,
,일반블로그,492,,,,
볼뉴머,병원블로그,308,516,고주파,7,
,플레이스블로그,5,,,,
,일반블로그,203,,,,
텐써마,병원블로그,336,567,고주파,6,
,플레이스블로그,20,,,,
,일반블로그,211,,,,
써마지,병원블로그,4070,11447,고주파,1,
,플레이스블로그,1452,,,,
,일반블로그,5925,,,,
세르프,병원블로그,300,631,고주파,4,
,플레이스블로그,26,,,,
,일반블로그,305,,,,
인모드,병원블로그,4329,10891,고주파,2,
,플레이스블로그,510,,,,
,일반블로그,6052,,,,
리프테라,병원블로그,111,216,초음파,6,
,플레이스블로그,3,,,,
,일반블로그,102,,,,
쿨소닉,병원블로그,42,103,초음파,7,
,플레이스블로그,10,,,,
,일반블로그,51,,,,
리니어펌,병원블로그,36,69,초음파,9,
,플레이스블로그,3,,,,
,일반블로그,30,,,,
튠라이너,병원블로그,48,112,초음파,8,
,플레이스블로그,1,,,,
,일반블로그,63,,,,
울쎄라,병원블로그,5218,17226,초음파,1,
,플레이스블로그,3359,,,,
,일반블로그,8649,,,,
슈링크,병원블로그,2658,10102,초음파,2,
,플레이스블로그,1155,,,,
,일반블로그,6289,,,,
리니어지,병원블로그,135,520,초음파,3,
,플레이스블로그,7,,,,
,일반블로그,378,,,,
브이로,병원블로그,102,342,초음파,4,
,플레이스블로그,18,,,,
,일반블로그,222,,,,
텐쎄라,병원블로그,176,244,초음파,5,
,플레이스블로그,6,,,,
,일반블로그,62,,,,
