키워드,그룹,총 발행량,총 댓글수,총 대댓글수,총 조회수,발행량 순위
써마지,고주파,2338,13767,4408,165718,1
인모드,고주파,982,5767,2288,76735,2
덴서티,고주파,956,3096,730,68411,3
쿨페이즈,고주파,906,5543,831,47135,4
튠페이스,고주파,411,2847,621,25324,5
세르프,고주파,289,1413,504,25918,6
올리지오,고주파,282,1801,636,19640,7
볼뉴머,고주파,251,1710,572,34321,8
텐써마,고주파,109,736,271,11583,9
울쎄라,초음파,2621,13526,4064,130741,1
쿨소닉,초음파,897,6551,887,44633,2
슈링크,초음파,802,5105,2206,67196,3
리프테라,초음파,642,4613,883,32530,4
리니어지,초음파,241,562,147,22842,5
브이로,초음파,167,1303,353,21191,6
튠라이너,초음파,121,747,188,9290,7
텐쎄라,초음파,61,458,96,3724,8
리니어펌,초음파,7,44,11,1305,9
