product_name,total_articles,analysis_period,avg_daily_articles,max_daily_articles,dominant_category,dominant_percentage,category_기업소식,category_병원발행,category_연예인,category_투자·주식,category_고객반응,category_기술자료,category_의학,category_기타,campaign_intensity,campaign_score,spike_dates_count,peak_date,peak_articles,number_promotion_articles,unique_numbers_count,celebrity_usage,marketing_keyword_score,competitor_mentions_count,top_competitor_mentioned,competitor_mentions_detail
슈링크,100,2025-12-02 ~ 2025-12-09,12.5,46,기타,45.0,14.0,28.0,13.0,0.0,0.0,0.0,0.0,45.0,HIGH,0.8,1,2025-12-03,46,18,5,수지(2),21,5,슈링크,"슈링크(92); 볼뉴머(4); 인모드(1); 덴서티(1); 리니어지(1)"
울쎄라,93,2025-11-10 ~ 2025-12-09,3.6,9,병원발행,79.6,9.7,79.6,10.8,0.0,0.0,0.0,0.0,0.0,MEDIUM,0.6,2,2025-11-28,9,10,5,이민호(2); 김성령(1); 백지연(1),15,15,울쎄라,"울쎄라(92); 써마지(55); 슈링크(7); 덴서티(5); 인모드(5); 올리지오(5); 리니어지(4); 세르프(4); 튠페이스(3); 쿨소닉(2); 브이로(2); 텐쎄라(2); 텐써마(1); 쿨페이즈(1); 리프테라(1)"
써마지,87,2025-11-10 ~ 2025-12-09,3.3,12,병원발행,67.8,4.6,67.8,27.6,0.0,0.0,0.0,0.0,0.0,MEDIUM,0.6,3,2025-11-10,12,19,5,백지연(15); 이민호(1); 김성령(5),5,15,써마지,"써마지(87); 울쎄라(59); 덴서티(9); 슈링크(6); 인모드(5); 올리지오(5); 리니어지(4); 튠페이스(3); 세르프(3); 쿨소닉(2); 브이로(2); 텐쎄라(2); 볼뉴머(1); 텐써마(1); 쿨페이즈(1)"
볼뉴머,87,2025-11-10 ~ 2025-12-09,4.3,17,기업소식,40.2,40.2,20.7,26.4,0.0,0.0,0.0,0.0,12.6,MEDIUM,0.6,5,2025-12-01,17,24,5,김나영(21); 수지(1),83,8,볼뉴머,"볼뉴머(84); 슈링크(50); 덴서티(2); 리니어지(2); 올리지오(2); 써마지(1); 인모드(1); 텐써마(1)"
올리지오,70,2025-11-10 ~ 2025-12-08,3.9,14,기업소식,55.7,55.7,37.1,4.3,0.0,0.0,0.0,0.0,2.9,MEDIUM,0.6,4,2025-11-26,14,9,5,없음,45,12,올리지오,"올리지오(66); 슈링크(7); 인모드(6); 써마지(5); 울쎄라(5); 덴서티(2); 리니어지(2); 브이로(2); 텐쎄라(2); 볼뉴머(2); 텐써마(1); 세르프(1)"
덴서티,54,2025-11-10 ~ 2025-12-08,3.4,19,병원발행,59.3,14.8,59.3,24.1,0.0,0.0,0.0,0.0,1.9,MEDIUM,0.6,2,2025-12-03,19,12,5,백지연(5); 이민호(1); 김성령(1),16,10,덴서티,"덴서티(53); 리니어지(13); 써마지(8); 울쎄라(5); 슈링크(3); 볼뉴머(2); 올리지오(2); 인모드(1); 리프테라(1); 세르프(1)"
세르프,25,2025-11-10 ~ 2025-12-08,2.3,14,기업소식,64.0,64.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,0.6,1,2025-12-04,14,4,4,이민호(1); 김성령(1); 백지연(1),38,8,세르프,"세르프(25); 울쎄라(5); 써마지(3); 인모드(2); 슈링크(1); 리니어지(1); 덴서티(1); 올리지오(1)"
쿨페이즈,22,2025-11-14 ~ 2025-12-04,1.6,6,기업소식,72.7,72.7,9.1,18.2,0.0,0.0,0.0,0.0,0.0,LOW,0.3,1,2025-11-14,6,13,5,없음,29,5,쿨페이즈,"쿨페이즈(19); 쿨소닉(8); 리프테라(4); 써마지(1); 울쎄라(1)"
리니어지,21,2025-11-10 ~ 2025-12-08,2.1,6,기업소식,57.1,57.1,42.9,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0.3,2,2025-11-10,6,4,4,없음,18,9,리니어지,"리니어지(21); 덴서티(13); 써마지(4); 울쎄라(4); 슈링크(3); 볼뉴머(2); 올리지오(2); 인모드(1); 세르프(1)"
튠페이스,21,2025-11-10 ~ 2025-12-05,3.0,12,연예인,61.9,9.5,28.6,61.9,0.0,0.0,0.0,0.0,0.0,MEDIUM,0.6,1,2025-12-04,12,11,5,없음,40,4,튠페이스,"튠페이스(6); 써마지(3); 울쎄라(3); 튠라이너(2)"
